id;metric_name;metric_type;value;unit;service_name;timestamp
1;charming gosh next;CONCURRENT_USERS;1554.16;specific understandi;gripper till arcade;2025-12-25T08:01:51
2;if anxiously oof;UPLOAD_SPEED;30137.91;immediate ignorance ;turret;2025-12-25T02:53:19
3;rusty lest;ERROR_RATE;19480.24;zowie bemuse;orange like until;2025-12-25T05:55:05
4;or yippee once;API_RESPONSE_TIME;23638.79;yippee among nervous;astonishing;2025-12-24T12:32:14
5;before pfft after;UPLOAD_SPEED;11493.76;across desecrate;through knavishly;2025-12-24T11:49:56
6;wherever grave beautifully;SEARCH_LATENCY;23535.93;grown tremendously;limited;2025-12-25T08:14:27
7;where meh;STORAGE_IOPS;2660.84;furiously guilty foo;failing continually psst;2025-12-24T22:37:24
8;sediment sweetly than;CACHE_HIT_RATE;11645.22;wide keel imaginativ;premise notwithstanding;2025-12-24T22:19:01
9;under barracks amid;UPLOAD_SPEED;21802.34;hydrolyse out before;bug;2025-12-24T12:50:03
10;yearningly;CONCURRENT_USERS;16868.99;outside across;given however;2025-12-25T00:50:28
