id;alert_rule_id;severity;title;message;entity_type;entity_id;status;triggered_date;acknowledged_by;acknowledged_date;resolved_by;resolved_date;alert_rule_id
1;16543;MEDIUM;status husband but;../fake-data/blob/hipster.txt;promise once;8380;RESOLVED;2025-12-25T06:37:00;loyally infatuated;2025-12-24T14:58:54;upside-down starch chase;2025-12-24T18:00:06;1
2;30748;MEDIUM;wherever presume probate;../fake-data/blob/hipster.txt;unexpectedly only unlike;10460;ESCALATED;2025-12-25T10:02:02;next meh;2025-12-25T00:13:02;actually if;2025-12-24T18:37:37;2
3;23585;LOW;submissive hm;../fake-data/blob/hipster.txt;yippee though;13803;ESCALATED;2025-12-24T22:01:37;provided;2025-12-25T09:47:19;phew yippee;2025-12-24T17:32:59;3
4;20518;MEDIUM;focused;../fake-data/blob/hipster.txt;zowie scuffle pish;10807;ESCALATED;2025-12-24T15:30:34;swathe yippee;2025-12-24T17:50:26;zowie fluff decongestant;2025-12-25T09:51:43;4
5;25417;MEDIUM;vastly;../fake-data/blob/hipster.txt;heavy birdcage;31049;RESOLVED;2025-12-25T01:55:10;venture;2025-12-25T09:43:52;inside drab;2025-12-25T05:40:10;5
6;2524;CRITICAL;likewise upon worth;../fake-data/blob/hipster.txt;blah continually anenst;15817;ESCALATED;2025-12-25T05:59:05;suspension during;2025-12-24T17:41:25;towards;2025-12-25T02:15:58;6
7;30960;HIGH;beside chunter;../fake-data/blob/hipster.txt;lazy gullible;26182;ACKNOWLEDGED;2025-12-24T16:55:55;brood;2025-12-25T01:18:44;qua;2025-12-24T15:56:03;7
8;21642;LOW;throughout;../fake-data/blob/hipster.txt;ready tenement;5677;DISMISSED;2025-12-25T05:07:58;yowza sans;2025-12-24T10:52:22;um supposing lace;2025-12-25T06:18:39;8
9;6355;HIGH;surprisingly gallivant;../fake-data/blob/hipster.txt;including disadvantage;28389;RESOLVED;2025-12-24T22:56:48;meh powerfully triumphantly;2025-12-25T02:15:09;testing;2025-12-24T17:07:12;9
10;15783;LOW;briefly miserably gape;../fake-data/blob/hipster.txt;around;7621;DISMISSED;2025-12-25T09:31:27;creative;2025-12-25T07:54:28;on from;2025-12-24T20:29:34;10
